rxn_IDs	rxnNames	K_score	grRules	rxn_formula
ACTCOALIG_REV	acetate-CoA ligase (ADP-forming) (reversible)	63.4375	XNR_1022	Acetyl-CoA[c] + ADP[c] + Phosphate[c] + 4.5727 prot_WP_015506977.1[c] => Acetate[c] + ATP[c] + Coenzyme A[c]
CYTDK2_REV	cytidine kinase (reversible)	63.4375	XNR_4004	CMP[c] + GDP[c] + H+[c] + 1607.8591 prot_WP_015507798.1[c] => Cytidine[c] + GTP[c]
GLYCt_EXP_1	glycerol transport via channel	63.4375	XNR_5169	Glycerol[c] => Glycerol[e]
PFK_EXP_2	phosphofructokinase	1.00292273542906	XNR_5592	ATP[c] + D-Fructose 6-phosphate[c] + 0.030432 prot_WP_003946794.1[c] => ADP[c] + D-Fructose 1,6-bisphosphate[c] + H+[c]
TKT2_REV	transketolase (reversible)	0.750000023755157	XNR_4929	D-Fructose 6-phosphate[c] + Glyceraldehyde 3-phosphate[c] + 0.17035 prot_WP_003947452.1[c] => D-Erythrose 4-phosphate[c] + D-Xylulose 5-phosphate[c]
GLYCL_EXP_4	Glycine Cleavage System	0.750000000000052	XNR_1360 and XNR_5466 and XNR_1359 and XNR_4014	Glycine[c] + Nicotinamide adenine dinucleotide[c] + 5,6,7,8-Tetrahydrofolate[c] + 0.030582 prot_WP_003946920.1[c] + 0.0039447 prot_WP_003950987.1[c] + 0.011657 prot_WP_003950988.1[c] + 0.015094 prot_WP_008411127.1[c] => CO2[c] + 5,10-Methylenetetrahydrofolate[c] + Nicotinamide adenine dinucleotide - reduced[c] + Ammonium[c]
MG2t_EXP_2	magnesium (+2) transport in via diffusion	0.75	XNR_5160	magnesium[e] + 3.1483 prot_WP_003947226.1[c] => magnesium[c]
NI2t_EXP_2	nickel (+2) transport in via permease (no H+)	0.75	XNR_5160	nickel[e] + 4.2006 prot_WP_003947226.1[c] => nickel[c]
NMNHYD	Adenosine kinase	0.75	XNR_3310	Phosphate[c] + N-Ribosylnicotinamide[c] + 0.023287 prot_WP_003949063.1[c] => H2O[c] + NMN[c]
PPM_REV	phosphopentomutase (reversible)	0.75	XNR_5582	alpha-D-Ribose 5-phosphate[c] + 0.22801 prot_WP_015508239.1[c] => alpha-D-Ribose 1-phosphate[c]
TKT1_REV	transketolase (reversible)	0.749999978768196	XNR_4929	Glyceraldehyde 3-phosphate[c] + Sedoheptulose 7-phosphate[c] + 0.17035 prot_WP_003947452.1[c] => alpha-D-Ribose 5-phosphate[c] + D-Xylulose 5-phosphate[c]
PGMT_B_REV	beta-D-Glucose 1-phosphate 1,6-phosphomutase (reversible)	0.725749288636293	XNR_0133	beta-D-glucose-6-phosphate[c] => beta-D-glucopyranose1-phosphate[c]
TRE6PPP_REV	trehalose-6-phosphate phosphorylase (reversible)	0.725749288636293	XNR_1712	beta-D-glucopyranose1-phosphate[c] + beta-D-glucose-6-phosphate[c] => Phosphate[c] + alpha,alpha'-Trehalose 6-phosphate[c]
TRE6PS_REV	alpha,alpha-trehalose-phosphate synthase (UDP-forming) (reversible)	0.724751407066717	XNR_2398	H+[c] + alpha,alpha'-Trehalose 6-phosphate[c] + UDP[c] + 0.59994 prot_WP_003949952.1[c] => D-Glucose 6-phosphate[c] + UDPglucose[c]
GALT_REV	UTP--hexose-1-phosphate uridylyltransferase (reversible)	0.721319741264765	XNR_2078	Diphosphate[c] + UDPgalactose[c] + 0.014246 prot_WP_003950276.1[c] => alpha-D-Galactose 1-phosphate[c] + H+[c] + UTP[c]
UGLT	UDPglucose--hexose-1-phosphate uridylyltransferase	0.721319741264765	XNR_2078	alpha-D-Galactose 1-phosphate[c] + UDPglucose[c] + 0.014246 prot_WP_003950276.1[c] => D-Glucose 1-phosphate[c] + UDPgalactose[c]
COBALT2t_EXP_2	cobalt transport in via permease (no H+)	0.71875	XNR_5160	Co2+[e] + 4.0612 prot_WP_003947226.1[c] => Co2+[c]
ALCD19_EXP_3	alcohol dehydrogenase (glycerol)	0.71875	XNR_5598	D-Glyceraldehyde[c] + H+[c] + Nicotinamide adenine dinucleotide - reduced[c] + 0.017326 prot_WP_003946788.1[c] => Glycerol[c] + Nicotinamide adenine dinucleotide[c]
XYLI2	xylose isomerase	0.71875	XNR_0195	D-Glucose[c] + 0.38686 prot_WP_003952153.1[c] => D-Fructose[c]
