gene_IDs	gene_names	K_score
XNR_1410	XNR_1410	1.0148587472882
XNR_2219	XNR_2219	1.00685940179537
XNR_3385	XNR_3385	1.00685940179537
XNR_3771	XNR_3771	1.00685940179537
XNR_4920	XNR_4920	1.00685940179537
XNR_4921	XNR_4921	1.00638653303803
XNR_5592	XNR_5592	1.00518989502437
XNR_4924	XNR_4924	1.00205089708877
XNR_4937	XNR_4937	0.691964285714286
XNR_4938	XNR_4938	0.691964285714286
XNR_4940	XNR_4940	0.691964285714286
XNR_0847	XNR_0847	0.418064493270278
XNR_4730	XNR_4730	0.418064493270277
XNR_4731	XNR_4731	0.418064493270277
XNR_4732	XNR_4732	0.418064493270277
XNR_1462	XNR_1462	0.398156981305908
XNR_1463	XNR_1463	0.398156981305908
XNR_1465	XNR_1465	0.398156981305908
XNR_1466	XNR_1466	0.398156981305908
XNR_1467	XNR_1467	0.398156981305908
XNR_1460	XNR_1460	0.398156981305908
XNR_1461	XNR_1461	0.398156981305908
XNR_1464	XNR_1464	0.398156981305908
XNR_1468	XNR_1468	0.398156981305908
